Item,type,selling_price,original_price,discount_perc,rating,Total_ratings,Delivery by,Delivery_time
Competitive Handbook Of Nursing Vol 3 Non-Trade Subject...,"Paperback, PR Yadav",315,345,8,4.3,490,Free delivery,
SSC CGL Tier 2 Computer Knowledge Hindi Medium Book,"Paperback, Hindi, Pinnacle Publications",330,470,29,4.3,14,Free delivery by, Today
Complete Class Note Advance Maths Bilingual Updated Edi...,"Perfect Binding, Gagan Pratap Sir",546,780,30,4.5,880,Free delivery by, Today
A Good Girl’s Guide To Murder+ Good Girl Bad Blood + As...,"Paperback, Holly Jackson",599,1474,59,4.2,326,Free delivery,
"OMR Sheets For Practice NEET 2022, 200 MCQ - Pack Of 55...","Loose Sheets, Zepten Retail",219,499,56,4.3,1055,Free delivery,
SSC CHSL (10+2) 2023 Exam: Chapter-Wise English Medium ...,"Paperback, Pinnacle Publications",390,520,25,4.2,294,Free delivery by, Today
UPSC Prelims Previous Year Question Papers (PYQ) Last 2...,"Paperback, StudyIQ Publications",359,649,44,4.5,799,Free delivery by, Today
SSC CGL 2023: 40 TCS Sets Solved Papers Hindi Medium,"Paperback, Hindi, Pinnacle Publications",350,480,27,4.4,202,Free delivery by, Today
"B D CHAURASIA'S HUMAN ANATOMY 9th Ed, 4 Volume Set (PB ...","Paperback, BD Chaurasia","2,236",2795,20,4.6,3438,Free delivery by, Today
SURA`S 10th Std Science Guide In English Medium 2023-24...,"Paperback, A panel of Authors",405,477,15,4.6,150,Free delivery,Hot Deal
SURA`S 11th Standard Chemistry Volume - I And II (Combi...,"Paperback, A PANEL OF AUTHORS",405,477,15,4.3,29,Free delivery,Lowest price since launch
Current Affairs Yearly 2023 (English Printed Edition) B...,"Paperback, Adda247 Publications",199,,,4.2,136,Free delivery by, Today
SURA`S 8th Standard Guide Social Science Full Year Tami...,"Paperback, Tamil, A PANEL OF AUTHORS",214,252,15,4.3,12,Free delivery,Hot Deal
SURA`S 9th Standard Science Exam Guide In English Mediu...,"Paperback, A PANEL OF AUTHORS",336,396,15,4.6,66,Free delivery,Hot Deal
Indian Economy (English | 1st Edition) For UPSC CSE Pre...,"Paperback, StudyIQ Publications",389,699,44,4.5,1898,Free delivery by, Today
